2019-05-15 14:06:36 configure libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2019-05-15 14:06:36 status unpacked libc6:amd64 2.27-3ubuntu1
2019-05-15 14:06:36 status unpacked libc6:amd64 2.27-3ubuntu1
2019-05-15 14:06:36 status half-configured libc6:amd64 2.27-3ubuntu1
2019-05-15 14:06:36 status installed libc6:amd64 2.27-3ubuntu1
2019-05-15 14:06:36 startup archives install
2019-05-15 14:06:36 install perl-base:amd64 <none> 5.26.1-6
2019-05-15 14:06:36 status half-installed perl-base:amd64 5.26.1-6
2019-05-15 14:06:36 status unpacked perl-base:amd64 5.26.1-6
2019-05-15 14:06:36 status unpacked perl-base:amd64 5.26.1-6
2019-05-15 14:06:36 configure perl-base:amd64 5.26.1-6 5.26.1-6
2019-05-15 14:06:36 status unpacked perl-base:amd64 5.26.1-6
2019-05-15 14:06:36 status half-configured perl-base:amd64 5.26.1-6
2019-05-15 14:06:36 status installed perl-base:amd64 5.26.1-6
2019-05-15 14:06:36 startup archives install
2019-05-15 14:06:36 install mawk:amd64 <none> 1.3.3-17ubuntu3
2019-05-15 14:06:36 status half-installed mawk:amd64 1.3.3-17ubuntu3
2019-05-15 14:06:36 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-05-15 14:06:36 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-05-15 14:06:36 configure mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2019-05-15 14:06:36 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-05-15 14:06:36 status half-configured mawk:amd64 1.3.3-17ubuntu3
2019-05-15 14:06:36 status installed mawk:amd64 1.3.3-17ubuntu3
2019-05-15 14:06:36 startup archives unpack
2019-05-15 14:06:36 upgrade base-files:amd64 10.1ubuntu2 10.1ubuntu2
2019-05-15 14:06:36 status half-configured base-files:amd64 10.1ubuntu2
2019-05-15 14:06:36 status unpacked base-files:amd64 10.1ubuntu2
2019-05-15 14:06:36 status half-installed base-files:amd64 10.1ubuntu2
2019-05-15 14:06:36 status half-installed base-files:amd64 10.1ubuntu2
2019-05-15 14:06:36 status unpacked base-files:amd64 10.1ubuntu2
2019-05-15 14:06:36 status unpacked base-files:amd64 10.1ubuntu2
2019-05-15 14:06:36 upgrade base-passwd:amd64 3.5.44 3.5.44
2019-05-15 14:06:36 status half-configured base-passwd:amd64 3.5.44
2019-05-15 14:06:36 status unpacked base-passwd:amd64 3.5.44
2019-05-15 14:06:36 status half-installed base-passwd:amd64 3.5.44
2019-05-15 14:06:36 status half-installed base-passwd:amd64 3.5.44
2019-05-15 14:06:36 status unpacked base-passwd:amd64 3.5.44
2019-05-15 14:06:36 status unpacked base-passwd:amd64 3.5.44
2019-05-15 14:06:36 install bash:amd64 <none> 4.4.18-2ubuntu1
2019-05-15 14:06:36 status half-installed bash:amd64 4.4.18-2ubuntu1
2019-05-15 14:06:36 status unpacked bash:amd64 4.4.18-2ubuntu1
2019-05-15 14:06:36 status unpacked bash:amd64 4.4.18-2ubuntu1
2019-05-15 14:06:36 install bsdutils:amd64 <none> 1:2.31.1-0.4ubuntu3
2019-05-15 14:06:36 status half-installed bsdutils:amd64 1:2.31.1-0.4ubuntu3
2019-05-15 14:06:36 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2019-05-15 14:06:36 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2019-05-15 14:06:36 install coreutils:amd64 <none> 8.28-1ubuntu1
2019-05-15 14:06:36 status half-installed coreutils:amd64 8.28-1ubuntu1
2019-05-15 14:06:36 status unpacked coreutils:amd64 8.28-1ubuntu1
2019-05-15 14:06:36 status unpacked coreutils:amd64 8.28-1ubuntu1
2019-05-15 14:06:36 install dash:amd64 <none> 0.5.8-2.10
2019-05-15 14:06:36 status half-installed dash:amd64 0.5.8-2.10
2019-05-15 14:06:36 status unpacked dash:amd64 0.5.8-2.10
2019-05-15 14:06:36 status unpacked dash:amd64 0.5.8-2.10
2019-05-15 14:06:37 install debconf:all <none> 1.5.66
2019-05-15 14:06:37 status half-installed debconf:all 1.5.66
2019-05-15 14:06:37 status unpacked debconf:all 1.5.66
2019-05-15 14:06:37 status unpacked debconf:all 1.5.66
2019-05-15 14:06:37 install debianutils:amd64 <none> 4.8.4
2019-05-15 14:06:37 status half-installed debianutils:amd64 4.8.4
2019-05-15 14:06:37 status unpacked debianutils:amd64 4.8.4
2019-05-15 14:06:37 status unpacked debianutils:amd64 4.8.4
2019-05-15 14:06:37 install diffutils:amd64 <none> 1:3.6-1
2019-05-15 14:06:37 status half-installed diffutils:amd64 1:3.6-1
2019-05-15 14:06:37 status unpacked diffutils:amd64 1:3.6-1
2019-05-15 14:06:37 status unpacked diffutils:amd64 1:3.6-1
2019-05-15 14:06:37 upgrade dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2019-05-15 14:06:37 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2019-05-15 14:06:37 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-05-15 14:06:37 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2019-05-15 14:06:37 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2019-05-15 14:06:37 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-05-15 14:06:37 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-05-15 14:06:37 install e2fsprogs:amd64 <none> 1.44.1-1
2019-05-15 14:06:37 status half-installed e2fsprogs:amd64 1.44.1-1
2019-05-15 14:06:37 status unpacked e2fsprogs:amd64 1.44.1-1
2019-05-15 14:06:37 status unpacked e2fsprogs:amd64 1.44.1-1
2019-05-15 14:06:37 install fdisk:amd64 <none> 2.31.1-0.4ubuntu3
2019-05-15 14:06:37 status half-installed fdisk:amd64 2.31.1-0.4ubuntu3
2019-05-15 14:06:37 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2019-05-15 14:06:37 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2019-05-15 14:06:37 install findutils:amd64 <none> 4.6.0+git+20170828-2
2019-05-15 14:06:37 status half-installed findutils:amd64 4.6.0+git+20170828-2
2019-05-15 14:06:37 status unpacked findutils:amd64 4.6.0+git+20170828-2
2019-05-15 14:06:37 status unpacked findutils:amd64 4.6.0+git+20170828-2
2019-05-15 14:06:37 install gcc-8-base:amd64 <none> 8-20180414-1ubuntu2
2019-05-15 14:06:37 status half-installed gcc-8-base:amd64 8-20180414-1ubuntu2
2019-05-15 14:06:37 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2019-05-15 14:06:37 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2019-05-15 14:06:37 install grep:amd64 <none> 3.1-2
2019-05-15 14:06:37 status half-installed grep:amd64 3.1-2
2019-05-15 14:06:37 status unpacked grep:amd64 3.1-2
2019-05-15 14:06:37 status unpacked grep:amd64 3.1-2
2019-05-15 14:06:37 install gzip:amd64 <none> 1.6-5ubuntu1
2019-05-15 14:06:37 status half-installed gzip:amd64 1.6-5ubuntu1
2019-05-15 14:06:37 status unpacked gzip:amd64 1.6-5ubuntu1
2019-05-15 14:06:37 status unpacked gzip:amd64 1.6-5ubuntu1
2019-05-15 14:06:37 install hostname:amd64 <none> 3.20
2019-05-15 14:06:37 status half-installed hostname:amd64 3.20
2019-05-15 14:06:37 status unpacked hostname:amd64 3.20
2019-05-15 14:06:37 status unpacked hostname:amd64 3.20
2019-05-15 14:06:37 install init-system-helpers:all <none> 1.51
2019-05-15 14:06:37 status half-installed init-system-helpers:all 1.51
2019-05-15 14:06:37 status unpacked init-system-helpers:all 1.51
2019-05-15 14:06:37 status unpacked init-system-helpers:all 1.51
